STATE,FIPSTATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NJ,34,12,3,2,52793,25333,39225,50944,0,1,11382,173384,0,114789,1046,12150,16307,2.32414784,30659,29420,17109,447,13777,35444,0,11291,1,1,9893,,1063.979866,475599,0,2508,3493,7023,7461,31.2,389939,0,55708,34702
NJ,34,12,4,2,36440,25333,61981,67831,0,0,9941,183465,0,109520,1333,6177,13753,2.32414784,29573,32740,17109,449,14258,58555,0,11086,3,2,27531,,1064.688196,478045,0,2648,12305,6070,6751,31.2,417983,0,54291,30284
NJ,34,12,5,2,36620,25333,16236,50660,0,0,9190,200732,0,117790,910,4693,23786,2.32414784,36079,24455,17109,519,15712,60489,0,14218,0,0,328,,921.0154143,478007,0,2569,4050,5221,4571,31.2,404688,1457,61269,34386
NJ,34,12,6,2,39813,25333,21553,53368,0,0,10813,181486,0,123756,1084,10349,16940,2.32414784,21932,27544,17109,629,13985,49106,0,11689,1,1,4589,1,760.154213,478137,0,2179,3210,6660,6445,31.2,375310,0,58760,38920
NJ,34,12,7,2,41878,25333,14991,53381,0,0,9827,207192,0,117574,331,3887,22804,2.32414784,44086,22693,17109,145,16682,57306,0,14257,0,0,172,,3310.337931,479999,0,10,2124,7480,6344,31.2,476791,0,64894,45764
NJ,34,12,8,2,50832,25333,50384,87257,0,0,9804,210138,0,100050,466,4100,15411,2.32414784,61373,21268,17109,189,14234,81287,0,10783,0,0,361,,2531.05291,478369,0,66,2934,6133,10097,31.2,461088,0,56580,39653
NJ,34,12,9,2,50348,25333,10532,69845,0,1,10501,216668,0,101142,271,4064,23524,2.32414784,74435,20502,17109,98,14371,65111,0,12428,0,0,326,,4881.908163,478427,0,0,2067,11855,7977,31.2,478427,0,60758,42842
NJ,34,12,10,2,43633,25333,247531,83193,1,1,8145,191874,0,108506,312,6421,19544,2.32414784,47759,27270,17109,30,15880,62800,0,8300,0,0,333,,15940.56667,478217,0,0,4969,8545,11282,31.2,478217,1093,42259,28338
NJ,34,12,11,2,59213,25333,31721,61206,0,0,9262,214263,0,95742,285,5026,26971,2.32414784,50434,27134,17109,87,18858,60454,0,12508,0,0,231,,5463.183908,475297,0,0,3250,7155,6654,31.2,475297,0,61547,40592
NJ,34,12,12,2,48548,25333,55032,69416,0,1,9411,211680,0,108419,315,4153,21999,2.32414784,54461,22933,17109,89,16044,72010,0,12787,0,0,256,,5369.516854,477887,0,0,2736,7278,6571,31.2,477887,0,60795,39012
NJ,34,12,13,2,41446,25333,8011,70110,0,0,12256,195354,0,116872,3313,9787,16007,2.32414784,28622,32062,17109,1717,15006,64234,0,11731,1,0,540,,278.4880606,478164,0,10937,7269,6330,5765,31.2,272234,0,57939,31985
NJ,34,12,14,2,53889,25333,60601,84215,0,1,7094,206685,0,96128,280,6266,23964,2.32414784,72488,26524,17109,32,17096,66482,0,9607,1,0,790,,14935.59375,477939,0,0,3162,15547,9247,31.2,477939,0,53685,32096
NJ,34,12,15,2,32710,25333,28813,82543,0,1,9704,208197,0,111726,513,5137,14680,2.32414784,39314,26519,17109,207,15129,78835,0,11793,0,0,297,,2308.932367,477949,0,602,6253,9059,6383,31.2,465736,0,61602,37180
NY,36,13,0,,1966956,164253,2165072,2198081,0,0,339256,7423335,0,3985325,67654,219131,824939,,2110275,1198494,22418,,728117,1722785,0,,0,0,37177,,,18241266,0,190704,251246,320486,297648,40.2,15608107,,2516000,1395496
NY,36,13,1,2,39408,164253,16440,47787,0,1,12829,163899,0,121070,1744,5803,13858,2.32414784,31733,35698,22418,195,20350,29091,0,11643,0,0,638,,2398.676923,467742,0,2207,9545,6054,6683,40.2,355845,0,53772,32773
NY,36,13,2,2,33829,164253,16558,60286,0,1,11737,168446,0,128463,349,4401,14601,2.32414784,29718,33292,22418,402,18643,39170,0,11938,0,0,257,,1163.487562,467722,0,0,10248,10054,5627,40.2,467507,0,53917,33156
NY,36,13,3,2,29444,164253,25322,46723,0,1,10438,181202,0,134950,418,4436,19023,2.32414784,33802,30028,22418,412,20580,42618,0,14396,0,0,325,,1135.665049,467894,0,76,5012,7044,4859,40.2,460389,932,61048,36436
NY,36,13,4,2,28998,164253,16052,47438,0,1,10262,188719,0,131339,199,4825,21715,2.32414784,30125,31599,22418,97,23401,36723,0,14376,0,0,281,,4820.721649,467610,0,0,3373,9070,5400,40.2,467591,0,63555,43278
NY,36,13,5,2,47530,164253,39695,45623,0,1,9237,194179,0,111807,301,5004,24176,2.32414784,44440,32173,22418,65,23905,33884,0,14102,0,0,930,,7195.292308,467694,0,0,3264,9269,5641,40.2,467694,0,62417,43959
NY,36,13,6,2,50004,164253,10174,43494,1,1,9119,204013,0,100288,201,5617,28153,2.32414784,61496,31629,22418,64,22777,37765,1,14483,0,0,1186,,7306.28125,467602,177814618,0,3235,9093,5390,40.2,467602,0,63897,43571
NY,36,13,7,2,54802,164253,170750,55273,1,0,6909,211879,0,89186,335,10204,28863,2.32414784,81668,39579,22418,19,25147,37994,0,11317,0,0,389,,24602.57895,467449,177814618,0,4228,16836,7781,40.2,467449,0,51981,39834
NY,36,13,8,2,52514,164253,20373,51423,1,1,7796,231507,0,72474,81,7425,34490,2.32414784,124247,31907,22418,19,21682,48771,0,12244,0,0,571,,24615.31579,467691,177814618,0,2800,12776,7328,40.2,467691,0,56523,50714
NY,36,13,9,2,71616,164253,10132,70385,1,1,9124,214189,0,73322,69,5822,34660,2.32414784,113995,25587,22418,20,17569,51747,0,10657,0,0,381,,23360.35,467207,177814618,0,2196,14329,7565,40.2,467207,0,56594,41696
NY,36,13,10,2,59921,164253,63395,63955,1,1,10501,195616,0,88962,132,7211,29166,2.32414784,88920,31377,22418,24,21257,37992,0,9988,0,0,399,,19781.04167,474745,177814618,0,2909,11563,7054,40.2,474745,0,51953,37652
NY,36,13,11,2,44484,164253,79251,55724,1,1,7893,184669,0,107229,173,6868,26376,2.32414784,63797,32240,22418,41,22627,35819,0,10834,1,1,933,,11458.29268,469790,177814618,0,2745,12042,7013,40.2,469790,0,51125,38808
NY,36,13,12,2,27081,164253,358745,55183,1,0,4963,152431,0,122611,230,7782,20451,2.32414784,47009,29002,22418,7,17583,32447,0,6344,0,0,438,,66456.42857,465195,177814618,0,3637,9167,8982,40.2,465195,0,28419,21487
NY,36,13,13,2,78590,164253,9671,56097,1,1,7009,203084,0,73798,80,7109,34183,2.32414784,109916,32002,22418,12,22137,42146,0,10368,0,0,581,,39186.83333,470242,177814618,0,2756,11033,8695,40.2,470242,0,53804,42872
NY,36,13,14,2,38769,164253,108347,66412,1,1,4671,164371,0,106782,199,5691,22578,2.32414784,71615,21788,22418,10,13759,47915,0,6959,3,1,1907,,46751.7,467517,177814618,0,2338,9672,9599,40.2,467517,0,35785,25565
NY,36,13,15,2,64141,164253,24751,61141,1,1,7580,189484,0,85345,70,6021,35314,2.32414784,99100,25628,22418,13,17269,41428,0,9529,1,1,1217,,35957.92308,467453,177814618,0,2338,12035,8185,40.2,467453,1000,49768,32088
NY,36,13,16,2,61531,164253,103131,48170,1,0,6332,202282,0,82388,162,7209,34078,2.32414784,92715,39279,22418,13,27379,33761,0,10504,0,0,490,,35904.30769,466756,177814618,0,4691,10366,7619,40.2,466756,0,49022,39332
NY,36,13,17,2,45490,164253,30355,51562,1,1,7350,189508,0,95501,139,7140,31216,2.32414784,70962,36862,22418,62,25061,32030,0,10632,1,1,4152,,7542.83871,467656,177814618,0,4661,11979,6652,40.2,467656,0,53601,33005
NY,36,13,18,2,73629,164253,19986,25517,1,1,4121,268314,0,40771,72,6787,54252,2.32414784,91227,26544,22418,6,16392,41958,0,14853,0,0,437,,77922.16667,467533,177814618,0,3365,10693,10521,40.2,467533,1030,62937,41179
NY,36,13,19,2,53315,164253,274143,47125,1,1,4085,187245,0,91635,108,7988,24017,2.32414784,42213,31373,22418,7,19932,29999,0,6712,0,0,265,,66696.57143,466876,177814618,0,3453,8656,10526,40.2,466876,0,40395,30405
NY,36,13,20,2,74023,164253,71671,48142,1,1,4143,229307,0,62313,120,5681,31122,2.32414784,137358,28171,22418,7,19063,42815,0,9743,0,0,319,,66952.42857,468667,177814618,0,3427,8685,10896,40.2,468667,0,46711,43246
NY,36,13,21,2,27667,164253,192893,51734,1,1,3427,131959,0,122325,128,5890,15905,2.32414784,35772,20973,22418,6,12425,33048,0,5613,0,0,331,,77005,462030,177814618,0,2658,7561,7808,40.2,462030,0,24029,23694
NY,36,13,22,2,73351,164253,82384,53405,1,1,6927,194753,0,74839,126,8382,28249,2.32414784,99732,32289,22418,9,20605,35089,0,8850,0,0,432,,51881.22222,466931,177814618,0,3302,10472,7773,40.2,466931,987,45487,40252
NY,36,13,23,2,53493,164253,58483,51722,1,1,11004,204669,0,97371,477,6032,25569,2.32414784,64086,33108,22418,87,23625,39825,0,12693,0,0,406,,5376.758621,467778,177814618,45,3451,7735,5785,40.2,465524,0,58921,39273
NY,36,13,24,2,52294,164253,59414,47258,0,1,10910,203188,0,102018,502,4259,23617,2.32414784,61201,26583,22418,158,19541,40731,0,13577,0,0,277,,2962.962025,468148,0,142,2783,5528,5523,40.2,450380,0,57803,39801
NY,36,13,25,2,46191,164253,22519,51610,0,0,12450,178990,0,112793,2214,3819,12543,2.32414784,32732,30445,22418,1472,16010,49565,0,11885,0,0,204,1,317.8389946,467859,0,4129,10616,5082,5002,40.2,241809,1592,56398,29998
NY,36,13,26,2,41684,164253,28044,54485,0,0,11844,175532,0,117088,2646,5554,13392,2.32414784,35129,34541,22418,123,18114,38555,0,11632,1,0,6409,,3800.195122,467424,0,4235,10873,5924,5452,40.2,334505,0,53248,32972
NY,36,13,27,2,49526,164253,9585,56852,0,0,11108,185794,0,105087,4733,2960,10534,2.32414784,24420,31049,22418,4680,16505,51341,0,9904,0,0,129,,99.9957265,467980,0,12384,11584,4005,7673,40.2,240039,0,52768,31247
NY,36,13,28,2,56418,164253,18598,55965,0,0,11536,196487,0,102245,965,6761,15028,2.32414784,30128,48128,22418,612,15216,41606,0,10674,1,0,391,,763.4297386,467219,0,2295,26151,5805,6378,40.2,411435,776,60083,36805
NY,36,13,29,2,52915,164253,8387,65803,0,0,12522,179832,0,110994,4615,4750,11009,2.32414784,18314,33431,22418,4684,14348,45392,0,9621,0,0,871,,99.86485909,467767,0,12548,14333,6044,7051,40.2,213020,0,55593,31905
NY,36,13,30,3,48088,164253,3230,57187,0,0,10741,164067,0,117560,8919,4285,7050,0.7770784,16316,32952,22418,10625,15163,35036,1,8584,1,1,3875,1,44.03952941,467920,0,32401,13504,4082,10395,40.2,183057,0,47525,27939
NY,36,13,31,2,55568,164253,8599,67449,0,0,9209,183270,0,108177,6632,7402,10142,2.32414784,21920,33235,22418,6429,15310,57088,0,9388,1,1,3598,,72.7511277,467717,0,21704,10523,4616,10433,40.2,261972,0,54467,29193
NY,36,13,32,3,43743,164253,8569,57243,0,0,9136,188070,0,111128,5868,3938,12950,0.7770784,19623,29031,22418,3146,15477,48139,0,10416,0,0,1672,,148.7050223,467826,0,18326,9616,5572,8294,40.2,307080,400,49699,37599
NY,36,13,33,3,50350,164253,18674,65684,0,0,10217,185537,0,114623,5954,4791,12194,0.7770784,20654,29405,22418,3088,15551,50693,0,9851,1,0,658,,151.4281088,467610,0,19398,9063,4949,8504,40.2,242999,1053,52517,33723
NY,36,13,34,3,51504,164253,28303,63062,0,0,9128,195448,0,103846,2400,2867,12920,0.7770784,38215,23378,22418,856,15726,71058,0,12082,0,0,199,1,546.0992991,467461,0,7986,4785,3330,7027,40.2,378507,0,51113,34899
NY,36,13,35,3,40686,164253,29034,74454,0,0,10448,193154,0,112973,4731,3158,9220,0.7770784,24891,25156,22418,2291,14424,73714,0,11528,0,0,151,,204.022261,467415,0,14334,7574,3899,6619,40.2,307881,241,51718,32842
NY,36,13,36,3,43375,164253,12563,71166,1,1,7549,188844,0,117552,2459,3100,10091,0.7770784,31309,26143,22418,1097,16837,67465,0,10702,0,0,849,1,426.4001823,467761,0,10169,6206,5199,9056,40.2,356068,0,56432,35822
NY,36,13,37,3,59844,164253,96638,73151,1,1,5913,184791,0,99382,271,5417,11998,0.7770784,34497,28693,22418,45,15824,57140,0,8845,0,0,297,,10394.64444,467759,0,0,7452,7035,11061,40.2,467759,888,53752,35059
NY,36,13,38,3,36533,164253,1460,64045,0,1,9547,183903,0,122064,1714,3644,12479,0.7770784,22532,27939,22418,910,15783,53544,0,11583,0,0,206,,514.0230769,467761,0,5881,8512,7854,6880,40.2,343738,0,56653,39453
NY,36,13,39,3,54292,164253,5948,68054,0,1,9579,181024,0,113072,7127,3061,7831,0.7770784,12736,26274,22418,5018,15165,57709,0,8936,0,0,121,,93.23614986,467859,0,22454,8048,5312,8890,40.2,231507,208,52133,32148
PA,42,14,0,,1272947,55542,1016551,1886207,0,0,247055,4712303,0,2680185,64577,154164,315277,,445895,597602,13017,,287571,1547806,0,,0,0,17583,,,11793909,0,225238,155867,164216,175400,40,8427381,,1752000,854364
PA,42,14,1,2,53066,55542,187428,73430,1,0,8826,194132,0,99589,559,14497,16247,2.32414784,31563,34707,13017,29,16816,49823,0,8690,7,1,4392,,16493.44828,478310,52029803,0,3394,7707,9338,40,478310,481,52531,35333
PA,42,14,2,2,58984,55542,305679,61442,1,0,8602,196092,0,101257,635,14003,17111,2.32414784,21399,38073,13017,25,19075,42291,0,8670,0,0,589,,18810.68,470267,52029803,0,4995,5082,10036,40,470267,0,48451,32003
PA,42,14,3,2,56599,55542,134444,78615,1,0,8310,185446,0,100854,388,8516,15068,2.32414784,32003,23198,13017,22,11628,59564,0,8368,1,0,432,,21456.40909,472041,52029803,0,3054,7902,10546,40,472041,0,53098,33693
PA,42,14,4,2,53251,55542,24551,64421,1,0,8732,200771,0,99031,147,13077,18631,2.32414784,38974,30620,13017,44,14708,55945,0,11069,1,0,422,,10788.27273,474684,52029803,0,2835,6900,6125,40,474684,0,63794,48343
PA,42,14,5,2,40200,55542,20480,66112,0,0,9957,193692,0,115284,3947,3784,15700,2.32414784,16067,20645,13017,838,10966,65441,0,12148,1,0,2184,,566.1515513,474435,0,8698,5895,5093,4150,40,272122,0,55674,34669
PA,42,14,6,2,58884,55542,6795,105935,0,0,10787,204420,0,98269,3196,2981,11033,2.32414784,12490,19409,13017,1669,10054,88878,0,9009,0,0,177,1,283.747154,473574,0,11160,6374,6280,6066,40,284557,0,60193,31679
PA,42,14,7,2,46442,55542,39759,62555,0,0,9800,194653,0,112309,521,8678,18942,2.32414784,22294,22485,13017,89,10686,59077,0,11383,0,0,465,,5288.921348,470714,24395291,0,3121,7193,5688,40,468411,0,61094,37378
PA,42,14,8,2,29617,55542,8580,72408,0,0,11903,194305,0,128122,1526,6975,14931,2.32414784,17264,22931,13017,650,12083,68835,0,11807,2,0,1478,,731.3938462,475406,0,5030,3873,5127,5776,40,372444,0,61924,37330
PA,42,14,9,2,51724,55542,4377,86571,0,0,11456,181671,0,107505,7823,8710,7470,2.32414784,4083,27582,13017,5579,9369,56964,0,8124,1,0,493,,83.88743502,468008,0,28998,9503,11723,7066,40,163009,174,51420,30189
PA,42,14,10,2,59387,55542,2010,84557,0,0,12015,187374,0,104001,6520,5902,9046,2.32414784,15284,24692,13017,5872,10425,61818,0,8318,1,0,378,,80.38266349,472007,0,21936,8365,6584,8638,40,246648,0,58006,32517
PA,42,14,11,2,60570,55542,2159,98547,0,0,10847,192717,0,97046,2079,5576,9342,2.32414784,15892,22628,13017,2382,9591,79215,0,8161,0,0,394,1,197.5050378,470457,0,8067,7461,5116,7087,40,329820,500,60859,31292
PA,42,14,12,4,54210,55542,5019,77498,0,0,9604,165105,0,109255,4302,2710,6832,11.20587552,11730,22396,13017,4024,9299,48882,0,8030,0,0,216,,116.7989563,469999,0,16309,10387,6345,8415,40,178474,0,55235,28392
PA,42,14,13,2,50878,55542,19263,52388,1,0,8942,199810,0,109842,452,4934,20161,2.32414784,26745,21101,13017,201,12522,59182,0,13251,0,0,433,,2354.124378,473179,52029803,364,3645,4368,4895,40,447808,0,62321,40428
PA,42,14,14,4,65455,55542,100104,51611,1,0,8503,187193,0,94203,201,7446,16379,11.20587552,28501,26465,13017,45,14543,35056,0,8952,0,0,322,,10456.37778,470537,0,0,4476,6283,9856,40,470537,1681,59083,38755
PA,42,14,15,2,50965,55542,5824,95648,0,0,9274,205243,0,102270,1727,2056,10619,2.32414784,20169,16908,13017,724,11755,91286,0,10171,0,0,229,,648.718232,469672,0,6809,3097,6297,4417,40,357914,0,58840,33889
PA,42,14,16,2,47419,55542,13897,91329,0,0,11640,201339,0,108585,8846,4592,9482,2.32414784,6812,18999,13017,1421,9800,80541,0,9905,0,0,326,1,329.2125264,467811,0,36413,4607,4907,4147,40,231053,2287,50916,33288
PA,42,14,17,2,54366,55542,28534,81599,0,0,11954,198860,0,105027,3337,8115,11519,2.32414784,7823,34486,13017,2655,10592,60947,0,8933,0,0,930,,179.3374765,476141,0,13147,15779,7618,5859,40,301657,0,57404,34591
PA,42,14,18,4,51599,55542,8518,55254,1,0,10325,180061,0,110374,420,4313,17351,11.20587552,19929,20099,13017,248,12085,47249,0,10770,0,0,335,,1903.524194,472074,0,444,3701,7805,6131,40,446604,0,62822,38770
PA,42,14,19,4,46274,55542,9416,84856,0,0,12279,201182,0,109519,4606,8356,11217,11.20587552,4782,25884,13017,1738,10401,69097,0,10107,4,0,1585,1,269.2744534,467999,0,18608,7127,6970,4401,40,266089,0,55022,38141
PA,42,14,20,4,46197,55542,30992,65247,1,0,8083,177272,0,112123,319,4325,14158,11.20587552,20972,18378,13017,181,11454,59604,0,9937,0,0,282,,2590.933702,468959,0,112,2599,7085,7274,40,458132,0,63212,36142
PA,42,14,21,4,44038,55542,9515,71013,0,0,9134,174453,0,115317,1539,2870,10807,11.20587552,16607,16835,13017,1074,10391,62412,0,9645,0,0,469,,440.4469274,473040,0,5434,3574,6561,8452,40,321733,0,59790,31667
PA,42,14,22,4,50818,55542,16444,72570,0,0,9947,162947,0,108306,2026,3235,8702,11.20587552,15718,19664,13017,2349,9247,47446,0,8396,1,0,437,,199.9906343,469778,0,8167,7182,7128,7977,40,196261,0,57780,28701
PA,42,14,23,4,48733,55542,2216,73938,0,0,9539,177336,0,103926,3126,3184,7486,11.20587552,7277,33413,13017,8918,9632,57373,0,8272,0,0,184,,52.67066607,469717,0,12499,20597,4523,8829,40,176166,0,51723,27927
